Pos,No.,Name,Team,Class,Time,Behind,Hardtail,S1: Fox Racing,S1: Fox Racing Position,S2: Camelbak,S2: Camelbak Position,S3: Maxxis,S3: Maxxis Position,S4: Hope,S4: Hope Position,S5: Peatys,S5: Peatys Position,S6: Exposure,S6: Exposure Position,S7: Julbo,S7: Julbo Position
869th,366,Jason Humphries,Team Meow,Enduro | Veteran Male,00:32:39.5,+13:13.74, ,00:07:11.2,969th,00:05:44.4,964th,00:04:23.0,847th,00:04:44.6,898th,00:03:13.1,928th,00:03:23.4,911th,00:03:59.9,921st
870th,737,Simon Alderson,No Hope,Enduro | Master Male,00:32:45.1,+13:19.34, ,00:05:41.7,750th,00:11:25.8,1012th,00:03:32.6,359th,00:03:41.4,410th,00:02:38.0,409th,00:03:00.5,653rd,00:02:45.1,448th
871st,578,Steven Marsden,Lavatrax,Enduro | Master Male,00:32:46.5,+13:20.78, ,00:07:19.7,973rd,00:05:22.5,945th,00:04:42.4,895th,00:04:50.3,911th,00:03:17.1,944th,00:03:26.1,920th,00:03:48.5,903rd
872nd,723,Abi Legge,This is Sheffield,Enduro | Senior Female,00:32:47.3,+13:21.55, ,00:07:00.2,962nd,00:05:58.5,972nd,00:04:53.2,911th,00:04:46.4,902nd,00:03:10.5,915th,00:03:25.5,915th,00:03:33.0,866th
873rd,817,John Eaton,RAF Coningsby,Enduro | Veteran Male,00:32:51.3,+13:25.55, ,00:05:48.3,787th,00:04:40.2,846th,00:04:01.5,730th,00:04:28.8,864th,00:02:48.0,666th,00:03:00.1,642nd,00:08:04.4,961st
874th,309,Ryan Horsman,Bikes N Beer,Enduro | Senior Male,00:32:51.5,+13:25.71, ,00:05:19.4,556th,00:04:10.0,633rd,00:03:58.5,700th,00:04:09.7,772nd,00:08:55.6,975th,00:02:59.9,639th,00:03:18.4,824th
875th,1126,Nicola Turner,Adventure scotland,Enduro | Senior Female,00:32:52.0,+13:26.25, ,00:05:55.3,833rd,00:04:56.4,896th,00:04:16.6,818th,00:08:11.2,955th,00:03:01.3,868th,00:03:15.3,867th,00:03:16.0,810th
876th,129,Alex Dorn,FAF,Enduro | Master Male,00:32:53.6,+13:27.87, ,00:06:07.8,875th,00:03:45.4,347th,00:11:08.1,971st,00:03:42.2,429th,00:02:40.6,491st,00:02:49.1,329th,00:02:40.4,347th
877th,482,Rabi Lama,Gears & Beers,Enduro | Master Male,00:32:57.7,+13:31.92, ,00:06:09.0,881st,00:05:25.8,952nd,00:04:12.1,794th,00:04:24.3,846th,00:02:58.0,835th,00:06:11.1,969th,00:03:37.4,879th
878th,349,Mark Kidley,Warrington Revolution MTB,Enduro | Master Male,00:32:58.6,+13:32.88, ,00:07:41.6,983rd,00:05:26.5,954th,00:04:35.0,877th,00:04:37.7,885th=,00:03:09.8,911th=,00:03:31.1,934th,00:03:57.0,919th
879th,156,Kevin Moreland,Walton Street Cycles,Enduro | Master Male,00:33:06.7,+13:40.98, ,00:13:52.6,1020th,00:03:46.7,367th,00:03:30.1,316th,00:03:37.8,345th,00:02:43.9,582nd,00:02:49.5,345th,00:02:46.2,466th
880th,390,David Tidy,Dicks Out For Harambe,Enduro | Veteran Male,00:33:12.6,+13:46.80, ,00:13:37.2,1019th,00:03:56.6,486th=,00:03:47.9,596th,00:03:43.6,453rd,00:02:33.5,265th,00:02:49.9,361st,00:02:43.8,419th
881st,1144,Sjoerd Wolters,strakka15,Enduro | Master Male,00:33:16.5,+13:50.69, ,00:06:02.2,860th,00:07:13.4,993rd,00:04:38.1,885th,00:04:46.2,901st,00:03:21.9,952nd,00:03:38.3,945th,00:03:36.4,877th
882nd,680,Paul Fowkes,MLCB,Enduro | Veteran Male,00:33:17.6,+13:51.80, ,00:06:35.8,941st,00:05:47.5,967th,00:05:33.0,937th,00:04:57.7,917th,00:03:09.3,908th,00:03:33.1,939th,00:03:41.1,892nd
883rd,317,Adam Riley,Blazing Saddles,Enduro | Master Male,00:33:19.9,+13:54.16, ,00:11:21.6,1014th,00:04:12.1,653rd,00:04:31.5,867th,00:04:16.9,812th,00:02:56.5,822nd,00:03:04.1,708th,00:02:57.2,639th
884th,1093,Ian Death,pmbr,Enduro | Veteran Male,00:33:21.3,+13:55.57, ,00:11:27.4,1015th,00:04:54.2,889th,00:04:00.1,718th,00:04:04.5,716th,00:02:49.3,701st=,00:03:07.5,790th,00:02:58.3,653rd
885th,551,Kevin Beales,KLMTB,Enduro | Veteran Male,00:33:25.7,+13:59.94, ,00:07:27.9,979th,00:06:24.7,981st,00:04:30.8,865th,00:04:42.6,896th,00:03:10.6,916th=,00:03:19.7,894th,00:03:49.3,905th
886th,867,James Blackham,I Feel Sick Racing,Enduro | Master Male,00:33:27.4,+14:01.61, ,00:05:47.2,781st,00:10:30.4,1010th,00:03:59.3,710th=,00:04:03.6,705th,00:02:41.6,515th=,00:03:00.4,647th,00:03:24.9,847th
887th,318,Grace Smith,Smith and Smith,Enduro | Master Female,00:33:36.9,+14:11.14, ,00:06:45.7,953rd,00:05:00.7,908th,00:04:46.7,901st,00:04:33.3,872nd,00:03:18.0,947th,00:03:27.3,924th,00:05:45.2,952nd
888th,198,Laura Cadman, ,Enduro | Senior Female,00:33:39.1,+14:13.32, ,00:06:36.8,945th,00:06:19.5,978th,00:05:01.7,919th,00:04:58.2,919th,00:03:23.3,954th,00:03:30.9,933rd,00:03:48.7,904th
889th,499,David Scarf,The Guards Enduro Team,Enduro | Master Male,00:33:43.5,+14:17.73, ,00:05:14.1,493rd,00:03:38.8,258th,00:12:57.3,975th,00:03:45.9,492nd,00:02:44.3,597th,00:02:48.7,320th,00:02:34.4,244th
890th,208,Ian Reed, ,Enduro | Veteran Male,00:33:44.9,+14:19.12, ,00:08:31.6,995th,00:05:37.1,962nd,00:04:54.7,913th,00:04:37.0,884th,00:03:12.5,924th,00:03:20.1,896th,00:03:31.9,864th
891st,654,Chris Flaherty,Marsden MTB,Enduro | Senior Male,00:33:54.7,+14:28.94, ,00:07:16.4,972nd,00:05:10.5,927th,00:05:32.0,936th,00:05:30.9,937th,00:03:18.1,948th,00:03:26.1,919th,00:03:40.7,889th
892nd,2127,Jehu Alcantara, ,Enduro | Veteran Male,00:33:55.6,+14:29.79, ,00:07:03.0,965th,00:06:32.4,983rd,00:04:39.2,890th,00:05:00.4,922nd,00:03:00.2,857th,00:03:37.5,944th,00:04:03.0,926th
893rd,938,Alanna Milne, ,Enduro | Master Female,00:34:09.6,+14:43.84, ,00:07:12.4,970th,00:06:48.8,987th,00:04:40.2,891st,00:04:51.2,912th,00:03:12.8,926th,00:03:41.1,954th,00:03:43.1,896th
894th,524,Sam Barker,how now brown pow,Enduro | Master Male,00:34:21.3,+14:55.49, ,00:04:58.7,299th,00:03:48.0,386th,00:13:15.6,976th,00:03:58.3,653rd,00:02:45.4,625th,00:02:52.8,449th,00:02:42.5,395th=
895th,272,Paul Wood,Bad Brains MBC,Enduro | Veteran Male,00:34:28.6,+15:02.80, ,00:05:41.4,748th,00:03:41.9,298th,00:11:25.2,972nd,00:03:44.2,464th,00:02:44.6,604th,00:02:55.5,528th,00:04:15.7,932nd
896th,1094,Isaac Dann,pmbr,Enduro | Senior Male,00:34:30.0,+15:04.26, ,00:08:41.4,996th,00:05:25.5,951st,00:04:43.0,896th,00:05:00.0,921st,00:03:16.6,942nd,00:03:22.3,908th,00:04:01.3,922nd
897th,600,Andrew Brown, ,Enduro | Master Male,00:34:36.9,+15:11.11, ,00:05:18.4,537th,00:04:02.8,563rd,00:03:39.9,495th,00:13:11.4,961st,00:02:40.3,484th,00:02:48.3,307th,00:02:55.7,618th
898th,958,Isaac Nolan,The Berkshire Hunts,Enduro | Master Male,00:34:39.4,+15:13.65, ,00:06:36.4,943rd,00:04:59.3,905th,00:04:29.8,862nd,00:07:52.7,953rd,00:03:14.3,932nd,00:03:30.6,932nd,00:03:56.3,917th
899th,402,James Cooper,ardly able,Enduro | Master Male,00:34:40.0,+15:14.24, ,00:05:21.1,575th,00:03:56.5,484th,00:03:36.4,427th,00:03:44.2,465th,00:11:18.5,976th,00:03:11.5,833rd,00:03:31.7,863rd
900th,302,Steven White,Bigfoot MBC,Enduro | Veteran Male,00:34:44.8,+15:19.01, ,00:05:10.4,462nd,00:03:50.2,409th,00:03:47.2,587th,00:03:46.9,512th,00:02:47.1,651st,00:12:28.4,972nd,00:02:54.5,592nd
901st,1129,Richard Brown, ,Enduro | Veteran Male,00:34:47.0,+15:21.26, ,00:14:28.0,1023rd,00:04:04.9,581st=,00:03:48.7,607th,00:03:59.0,665th,00:02:44.0,584th=,00:02:55.7,532nd,00:02:46.7,480th
902nd,845,Jill Sowerbutts,SAMM,Enduro | Master Female,00:34:59.3,+15:33.49, ,00:06:52.8,957th,00:06:37.6,985th,00:04:50.3,908th,00:05:26.1,933rd,00:03:34.6,967th,00:03:41.0,952nd,00:03:56.9,918th
903rd,926,Anthony Shapland,Team ABR,Enduro | Senior Male,00:35:00.5,+15:34.77, ,00:07:07.5,967th,00:05:57.3,971st,00:05:15.6,930th,00:05:00.0,920th,00:03:48.1,970th,00:03:50.7,958th,00:04:01.4,924th
904th,920,Patricia Hughes, ,Enduro | Master Female,00:35:04.2,+15:38.42, ,00:07:57.2,987th,00:06:11.0,974th,00:05:13.0,928th,00:04:44.9,899th,00:03:14.6,933rd,00:03:36.1,941st,00:04:07.6,928th
905th,860,Neil Barnes,Sherwood Old Boys,Enduro | Veteran Male,00:35:25.6,+15:59.78, ,00:10:19.3,1009th,00:05:45.2,965th,00:04:37.8,883rd,00:04:41.3,894th,00:02:58.0,836th,00:03:21.9,906th,00:03:42.0,894th
906th,772,Steve Paull, ,Enduro | Master Male,00:35:30.3,+16:04.48, ,00:08:13.6,991st,00:05:45.5,966th,00:05:52.9,948th,00:04:46.9,904th,00:03:06.6,899th,00:03:26.8,921st,00:04:18.0,935th
907th,1068,Chris Lodge, ,Enduro | Master Male,00:35:47.2,+16:21.39, ,00:04:50.4,206th,00:08:00.6,1004th,00:03:25.3,227th,00:08:10.9,954th,00:02:58.1,837th,00:02:57.9,602nd=,00:05:23.9,949th
908th,146,Martyn Green,Trace Defrein,Enduro | Grand Vet Male,00:35:54.9,+16:29.18, ,00:05:23.9,599th,00:04:00.9,545th,00:03:42.5,529th,00:14:05.4,965th,00:02:48.2,670th,00:03:00.7,656th,00:02:53.4,581st
909th,941,Adam Simcock,Team Nobcheese,Enduro | Master Male,00:35:57.3,+16:31.57, ,00:07:21.8,976th,00:07:42.4,1000th,00:04:58.4,915th,00:05:07.1,924th,00:03:23.8,956th,00:03:38.5,946th,00:03:45.2,900th
910th,502,Jack Owen,The Guards Enduro Team,Enduro | Master Male,00:36:13.6,+16:47.81, ,00:07:02.3,964th,00:07:20.7,995th,00:05:36.2,940th,00:05:22.0,931st,00:03:28.3,960th,00:03:32.7,938th,00:03:51.5,911th
911th,707,Alex Brown,Island Monkeys,Enduro | Master Male,00:36:34.2,+17:08.42, ,00:05:09.1,439th=,00:04:27.9,781st,00:14:45.4,977th,00:03:58.5,656th,00:02:38.7,432nd=,00:02:52.2,432nd,00:02:42.4,391st
912th,1058,Steve Jackson, ,Enduro | Master Male,00:36:48.7,+17:22.88, ,00:05:14.2,495th,00:04:09.4,628th,00:14:56.1,978th,00:03:52.4,591st,00:02:42.0,522nd=,00:03:00.2,643rd,00:02:54.5,591st
913th,284,Freddie Williams,Bath University CC,Enduro | Senior Male,00:36:49.1,+17:23.36, ,00:04:37.9,105th,00:03:19.5,88th,00:03:16.5,130th,00:03:20.2,115th,00:02:34.4,293rd,00:02:38.0,88th,00:17:02.6,972nd
914th,749,Geoffrey Halstead,Northern Metal,Enduro | Hardtail Male,00:36:57.7,+17:31.89, ,00:04:46.3,179th,00:03:32.8,198th,00:03:16.8,133rd,00:17:33.2,973rd,00:02:25.2,86th,00:02:40.2,123rd,00:02:43.1,410th
915th,512,Adam March,Hadleigh MTB Club Enduro Team,Enduro | Hardtail Male,00:37:12.5,+17:46.74,H,00:07:32.5,982nd,00:06:57.3,989th,00:05:45.8,946th,00:05:55.2,944th,00:03:28.5,961st,00:03:24.0,912th,00:04:09.2,930th
916th,836,Sam Atkinson,Mad Adventures Clan,Enduro | Senior Male,00:37:13.4,+17:47.60, ,00:04:48.2,191st,00:03:42.9,317th,00:06:27.2,954th,00:14:04.8,964th,00:02:44.0,583rd,00:02:46.5,254th,00:02:39.9,337th
917th,960,Carl Greaves,The Berkshire Hunts,Enduro | Grand Vet Male,00:37:27.7,+18:01.89, ,00:07:08.1,968th,00:07:40.2,998th,00:05:16.7,932nd,00:05:58.1,945th,00:03:16.8,943rd,00:03:29.5,929th,00:04:38.3,942nd
918th,814,Jenna Mcglinchey,Radbikes,Enduro | Master Female,00:37:35.3,+18:09.53, ,00:09:12.8,1001st,00:06:41.8,986th,00:05:24.3,934th,00:05:07.3,925th,00:03:25.3,958th,00:03:27.0,922nd,00:04:16.8,933rd
919th,861,Mark Jones,Sherwood Old Boys,Enduro | Veteran Male,00:37:39.3,+18:13.58, ,00:07:45.2,984th,00:08:31.6,1007th,00:04:46.9,902nd,00:05:27.6,935th,00:03:09.8,913th,00:04:08.1,963rd,00:03:50.1,908th
920th,908,Chris Walker,SWS WE RIDE,Enduro | Veteran Male,00:37:44.4,+18:18.58, ,00:05:13.9,489th,00:03:44.2,335th,00:16:46.0,982nd,00:03:48.3,535th,00:02:33.7,271st,00:02:53.3,469th,00:02:45.0,443rd=
921st,545,Joe Nelson,Joe joes cowboys,Enduro | Senior Male,00:37:51.7,+18:25.91, ,00:05:15.4,508th,00:03:44.4,337th,00:03:51.7,644th,00:04:04.8,720th,00:02:44.6,605th,00:02:57.1,573rd=,00:15:13.6,970th
922nd,324,Emma Downey, ,Enduro | Veteran Female,00:37:59.5,+18:33.70, ,00:09:23.9,1004th,00:06:30.0,982nd,00:05:40.2,944th,00:05:20.2,930th,00:03:31.2,964th,00:03:41.0,953rd,00:03:52.9,912th
923rd,195,Ruth Hindmarch,Thirsk Massive,Enduro | Master Female,00:38:24.6,+18:58.79, ,00:07:29.1,980th,00:07:19.4,994th,00:05:41.7,945th,00:06:08.5,947th,00:03:38.0,969th,00:03:47.8,957th,00:04:20.1,936th
924th,538,Liz Prokopowicz,Revolution Sports Physio,Enduro | Veteran Female,00:38:26.0,+19:00.20, ,00:08:45.5,997th,00:07:06.4,992nd,00:05:25.1,935th,00:05:34.9,939th,00:03:26.1,959th,00:03:45.5,956th,00:04:22.6,937th
925th,407,Mark Wilcox,EhUpLad,Enduro | Veteran Male,00:38:31.5,+19:05.69, ,00:18:56.6,1027th,00:03:15.1,65th,00:03:05.0,43rd,00:05:44.4,941st,00:02:18.5,25th,00:02:35.1,57th,00:02:36.8,277th
926th,212,Tom Holliman,Cafe Adventure,Enduro | Master Male,00:38:42.0,+19:16.20, ,00:05:51.3,810th=,00:04:09.8,631st,00:15:51.2,979th,00:04:00.8,678th,00:02:51.4,742nd,00:02:59.2,627th,00:02:58.3,655th
927th,1055,Verity Appleyard,Stage 1 Cycles Hawes,Enduro | Veteran Female,00:39:04.5,+19:38.69, ,00:17:58.2,1026th,00:04:15.9,695th,00:03:50.8,636th,00:03:59.6,668th=,00:02:51.7,747th=,00:03:09.2,808th,00:02:59.0,665th
928th,333,Matthew Turner,Badger Racing,Enduro | Master Male,00:39:42.2,+20:16.38, ,00:09:46.6,1006th,00:06:13.7,975th,00:05:34.3,938th,00:05:33.5,938th,00:03:32.3,965th,00:04:08.4,964th,00:04:53.3,945th
929th,117,Ben Dawson,D&M Fabrication,Enduro | Senior Male,00:40:10.6,+20:44.80, ,00:08:18.4,992nd,00:06:49.6,988th,00:07:07.0,960th,00:05:29.1,936th,00:03:35.1,968th,00:03:51.8,959th,00:04:59.6,946th
930th,614,Robert Barr,Arbr,Enduro | Veteran Male,00:40:21.3,+20:55.50, ,00:04:50.0,202nd,00:03:37.2,240th,00:19:28.2,984th,00:03:30.5,243rd,00:02:29.4,166th,00:03:53.0,960th,00:02:32.8,207th=
931st,798,Joe Riley,PRH Racing,Enduro | Master Male,00:40:47.9,+21:22.14, ,00:05:08.6,430th,00:03:56.0,480th=,00:03:42.3,524th,00:17:08.8,971st,00:02:46.1,636th,00:02:55.0,511th,00:05:11.1,947th
932nd,984,Chris Dennis, ,Enduro | Master Male,00:41:20.9,+21:55.17, ,00:05:32.3,679th,00:04:39.3,840th,00:03:42.3,522nd,00:03:53.5,604th,00:02:48.8,685th,00:02:57.0,570th,00:17:47.8,973rd
933rd,994,Alex Manning,Ahhhh Gary!,Enduro | Master Male,00:42:00.3,+22:34.52, ,00:06:10.0,883rd,00:17:54.8,1023rd,00:04:12.9,800th,00:04:17.3,813th,00:02:57.6,832nd,00:03:13.8,851st,00:03:13.8,801st=
934th,300,Michael Niblett,BIG RIG RACING,Enduro | Master Male,00:42:11.1,+22:45.30, ,00:06:27.9,925th,00:16:48.6,1022nd,00:04:19.2,834th,00:04:22.3,838th,00:03:03.1,879th=,00:03:15.0,865th,00:03:54.9,914th
935th,995,Adam Farrer,Ahhhh Gary!,Enduro | Master Male,00:42:22.1,+22:56.35, ,00:05:45.7,770th,00:04:19.4,725th,00:18:53.7,983rd,00:04:17.7,816th,00:02:48.3,673rd,00:03:06.2,760th=,00:03:11.1,775th
936th,882,Lee Saving,Squeelers Wheelers,Enduro | Veteran Male,00:42:34.9,+23:09.14, ,00:05:28.7,654th,00:14:39.0,1017th,00:07:07.2,961st,00:04:07.8,747th,00:02:51.3,739th,00:05:18.3,967th,00:03:02.6,705th
937th,1036,Matthew Mcnaghten,Rother Valley Riders,Enduro | Veteran Male,00:42:38.6,+23:12.84, ,00:04:59.4,310th,00:03:52.5,438th,00:11:50.6,973rd,00:09:31.4,959th,00:02:46.9,649th,00:02:46.4,253rd,00:06:51.4,957th
938th,301,Andy Gilliver,BIG RIG RACING,Enduro | Master Male,00:42:48.5,+23:22.71, ,00:06:08.8,879th,00:16:34.9,1021st,00:05:58.4,950th,00:04:18.8,823rd,00:02:49.1,694th,00:03:31.5,935th,00:03:26.9,852nd
939th,437,Chris Potts,FANYLION RACING,Enduro | Hardtail Male,00:43:25.8,+24:00.08,H,00:05:19.8,561st,00:04:00.4,536th,00:03:36.3,423rd,00:21:43.7,974th,00:02:49.4,708th,00:02:57.7,592nd,00:02:58.5,659th
940th,361,Adam Neale,Team Meow,Enduro | Senior Male,00:43:31.3,+24:05.52, ,00:04:49.9,200th,00:03:46.5,363rd,00:03:27.1,255th,00:23:21.5,977th,00:02:34.0,278th,00:02:46.9,274th,00:02:45.4,451st
941st,1180,Ben Plenge,The Strength Factory,Enduro | Master Male,00:43:34.5,+24:08.77, ,00:22:29.6,1029th,00:03:20.7,97th=,00:07:17.4,964th,00:03:11.2,47th,00:02:23.3,57th,00:02:35.3,60th,00:02:17.0,41st
942nd,754,Matthew Escott,Nutcracker,Enduro | Veteran Male,00:43:42.1,+24:16.31, ,00:05:06.2,384th,00:03:45.1,344th,00:22:59.4,988th,00:03:40.4,396th,00:02:35.1,311th,00:02:53.8,485th,00:02:42.1,381st
943rd,968,Craig Bellison,Kernow Kamikaze,Enduro | Senior Male,00:44:22.7,+24:56.93, ,00:05:34.8,697th,00:04:13.4,666th=,00:03:49.8,622nd,00:06:28.2,950th,00:02:44.4,598th,00:03:01.3,665th,00:18:30.8,974th
944th,1105,Gar Owens,Sherwood Old Boys,Enduro | Grand Vet Male,00:44:46.2,+25:20.41, ,00:19:00.4,1028th,00:04:43.9,863rd,00:04:47.3,904th,00:05:40.1,940th,00:03:14.6,935th,00:03:39.9,947th,00:03:39.9,886th
945th,145,Peter Mcnuity,Trace Defrein,Enduro | Grand Vet Male,00:44:56.9,+25:31.14, ,00:05:40.7,743rd,00:04:28.5,786th,00:20:40.7,986th,00:04:16.7,811th,00:03:05.4,892nd,00:03:09.8,815th,00:03:35.2,874th
946th,847,Robert Abela,Stirling Mudders,Enduro | Master Male,00:45:28.3,+26:02.54, ,00:05:33.4,687th,00:04:08.1,620th,00:16:05.7,980th,00:04:08.4,758th,00:02:53.0,772nd,00:03:09.7,812th,00:09:30.1,963rd
947th,736,Paul Staniforth,No Hope,Enduro | Master Male,00:46:38.5,+27:12.75, ,00:05:13.5,486th,00:03:57.9,503rd=,00:23:05.0,989th,00:05:23.0,932nd,00:02:49.3,706th,00:03:07.2,783rd,00:03:02.6,704th
948th,532,Nicola Turner,Ivy Woods,Enduro | Master Female,00:47:17.1,+27:51.29, ,00:06:07.0,873rd,00:04:49.7,878th,00:04:06.0,758th,00:23:13.0,976th,00:02:51.1,738th,00:03:04.6,724th,00:03:05.6,731st
949th,539,Matt Prokopowicz,Revolution Sports Physio,Enduro | Veteran Male,00:48:10.1,+28:44.29, ,00:05:30.4,664th,00:21:46.4,1025th,00:05:16.5,931st,00:05:48.9,943rd,00:02:53.8,784th,00:03:04.3,715th,00:03:49.6,906th
950th,863,Peter Hempsall,Shitans,Enduro | Master Male,00:48:33.4,+29:07.65, ,00:05:56.6,842nd,00:04:22.8,745th,00:25:10.6,990th,00:04:08.0,751st,00:02:50.2,726th,00:03:02.8,686th,00:03:02.5,702nd
951st,687,Fernando Moreno,MMB,Enduro | Master Male,00:49:25.7,+29:59.92, ,00:08:46.7,998th,00:04:34.5,815th,00:04:15.2,807th,00:22:18.4,975th,00:02:59.0,844th=,00:03:12.5,840th,00:03:19.4,829th
952nd,173,Thomas Corfield,Enduro Mag,Enduro | Veteran Male,00:49:26.9,+30:01.12, ,00:05:07.5,414th,00:04:03.8,570th,00:28:11.9,992nd,00:03:39.0,371st,00:02:40.7,494th,00:02:53.6,478th,00:02:50.4,539th
953rd,413,David Ray,Spokes MTB Club,Enduro | Grand Vet Male,00:50:05.5,+30:39.76, ,00:05:40.3,740th=,00:04:01.2,554th,00:21:56.0,987th,00:03:58.3,654th,00:07:16.9,974th,00:03:19.2,890th,00:03:53.6,913th
954th,1045,Liam Parling,Franks head,Enduro | Master Male,00:51:25.4,+31:59.67, ,00:05:48.0,785th,00:10:19.4,1009th,00:03:45.6,567th,00:03:59.6,668th=,00:02:44.2,594th,00:02:55.7,531st,00:21:52.9,975th
955th,438,Sheldon Starkey,FANYLION RACING,Enduro | Veteran Male,00:51:43.9,+32:18.13, ,00:09:54.1,1007th,00:07:28.2,996th,00:07:22.0,965th,00:15:36.7,970th,00:03:17.6,946th,00:03:41.3,955th,00:04:24.0,938th
956th,1123,Lee Whitell, ,Enduro | Senior Male,00:52:44.5,+33:18.68, ,00:28:22.2,1032nd,00:04:05.4,589th=,00:03:41.5,513th,00:03:43.6,451st,00:02:42.5,544th,00:02:58.6,612th,00:07:10.7,959th
957th,331,Antony Brown,Badger Racing,Enduro | Master Male,00:53:54.3,+34:28.50, ,00:05:38.0,713th=,00:04:11.5,651st,00:28:21.8,993rd,00:05:16.7,929th,00:03:09.4,909th,00:03:33.2,940th,00:03:43.6,897th
958th,325,Adam Bedford,BikeUK,Enduro | Senior Male,00:54:12.9,+34:47.12, ,00:06:03.4,862nd,00:04:14.3,677th,00:04:26.6,856th,00:30:27.5,980th,00:02:56.9,826th,00:03:03.6,702nd=,00:03:00.6,681st
959th,321,Rich Harrison,brightonmtb,Enduro | Veteran Male,00:57:36.1,+38:10.32, ,00:37:37.1,1033rd,00:03:59.4,521st,00:03:38.8,476th,00:03:45.5,483rd,00:02:47.4,656th,00:02:56.3,544th=,00:02:51.6,557th
960th,503,James Pickersgill-Jones,The Guards Enduro Team,Enduro | Senior Male,00:59:23.6,+39:57.83, ,00:06:07.5,874th,00:04:39.7,843rd,00:04:11.5,792nd,00:04:08.7,762nd,00:02:46.9,647th,00:23:52.4,974th,00:13:37.0,969th
961st,180,Nick Drysdale,The Wheelbarrows,Enduro | Veteran Male,00:59:27.1,+40:01.37, ,00:08:22.0,993rd,00:05:50.7,970th,00:05:23.2,933rd,00:28:08.6,979th,00:03:21.3,951st,00:03:40.9,951st,00:04:40.5,944th
962nd,729,Gavin Everitt, ,Enduro | Veteran Male,01:03:30.1,+44:04.31, ,00:05:38.9,721st,00:04:20.9,733rd,00:07:13.1,962nd,00:15:02.4,969th,00:02:41.6,515th=,00:19:44.7,973rd,00:08:48.5,962nd
963rd,1163,Glen Johnson,Cant quit Cartel,Enduro | Master Male,01:09:09.1,+49:43.37, ,00:05:06.0,382nd,00:03:50.6,416th,00:46:13.8,995th,00:04:13.4,792nd,00:02:48.6,683rd,00:03:05.5,745th,00:03:51.3,910th
964th,537,Matt Hatcliffe,Revolution Sports Physio,Enduro | Master Male,01:09:55.1,+50:29.30, ,00:05:46.6,775th,00:21:30.8,1024th,00:06:17.4,952nd,00:17:19.5,972nd,00:02:55.4,805th,00:03:15.5,870th,00:12:49.9,968th
965th,354,Craig Moor,Ham Huck Syndicate,Enduro | Master Male,01:10:10.8,+50:45.06, ,00:06:03.8,863rd,00:04:32.3,806th,00:04:22.2,842nd,00:45:07.7,981st,00:03:20.4,949th,00:03:06.9,776th,00:03:37.5,880th
966th,422,Diane Hawkins, ,Enduro | Veteran Female,01:13:36.7,+54:10.89, ,00:14:17.1,1021st,00:15:45.1,1018th,00:10:12.8,970th,00:13:48.0,963rd,00:05:33.2,973rd,00:06:14.2,970th,00:07:46.4,960th
967th,728,Anthony Hayes,Guildford Flames,Enduro | Veteran Male,01:21:29.3,+62:03.54, ,00:05:34.1,688th,00:05:00.1,907th,00:04:30.5,864th,00:50:41.0,982nd,00:02:58.8,841st,00:03:09.3,810th,00:09:35.7,965th
 ,996,Brendan O'Connor,Ahhhh Gary!,Enduro | Master Male,DNF, , ,00:06:31.4,935th,00:04:26.6,771st,00:11:58.3,974th,00:04:25.1,851st,00:03:14.6,934th, , ,00:03:22.0,841st
 ,254,Ed Downs,AVMB,Enduro | Senior Male,DNF, , ,00:05:26.5,633rd=,00:04:04.5,574th, , ,00:04:24.5,849th,00:02:56.2,818th,00:03:06.2,756th=,00:02:55.0,604th
 ,1099,David Carrol, ,Enduro | Master Male,DNF, , ,00:05:14.4,499th,00:03:48.8,392nd, , ,00:04:36.4,881st,00:02:42.6,549th,00:03:02.7,681st,00:02:40.2,340th
 ,626,Christopher Ashley, ,Enduro | Senior Male,DNF, , ,00:05:37.5,711th,00:04:24.1,757th,00:04:16.2,816th,00:04:24.5,848th, , , , ,00:15:43.8,971st
 ,1,Dickon Hepworth,Jungle Massiv,Enduro | Veteran Male,DNF, , ,00:05:26.7,639th,00:04:11.8,652nd, , , , , , , , ,00:02:49.8,528th
 ,428,Morgan Winfield,DVATC,Enduro | Veteran Male,DNF, , ,00:15:05.9,1024th, , ,00:03:29.3,303rd,00:03:31.5,254th,00:02:38.8,436th,00:02:49.3,340th=,00:02:38.7,304th
 ,998,Tom Hall,trail junkeez,Enduro | Master Male,DNF, , ,00:05:32.7,684th, , , , , , , , ,00:02:55.3,524th,00:03:04.3,716th
 ,1122,Duncan Rose, ,Enduro | Master Male,DNF, , ,00:06:13.1,894th, , ,00:03:55.9,679th=,00:14:31.4,966th,00:02:50.3,727th,00:07:38.4,971st,00:04:33.7,941st
 ,714,Robert Taylor,MTB CLUB,Enduro | Master Male,DNF, , ,00:05:52.7,817th,00:05:08.9,925th, , , , , , , , , , 
 ,762,Oliver Van Steenberghe,olipar,Enduro | Master Male,DNF, , ,00:05:24.9,613th,00:05:34.3,960th,00:20:34.2,985th,00:06:46.0,951st,00:02:51.8,754th,00:02:57.8,595th, , 
 ,1084,Rufus Guy,Y150,Enduro | Senior Male,DNF, , ,00:08:05.3,989th,00:05:17.1,941st,00:04:46.5,900th,00:23:46.6,978th,00:03:12.9,927th,00:03:20.6,900th, , 
